ano,area_nome,n_programas,n_A,n_conceito_numerico,prop_3,prop_4,prop_5,prop_6_7
2020,Antropologia / Arqueologia,37,4,33,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.12121212121212122
2020,Geografia,76,11,65,0.4,0.26153846153846155,0.2,0.13846153846153847
2020,Ciência Política / RI,59,10,49,0.3877551020408163,0.3469387755102041,0.12244897959183673,0.14285714285714285
2020,História,80,9,71,0.323943661971831,0.352112676056338,0.23943661971830985,0.08450704225352113
2021,Economia,77,1,76,0.27631578947368424,0.34210526315789475,0.2236842105263158,0.14473684210526316
2021,Sociologia,52,0,52,0.09615384615384616,0.4423076923076923,0.28846153846153844,0.17307692307692307
2021,Antropologia / Arqueologia,37,0,37,0.32432432432432434,0.1891891891891892,0.24324324324324326,0.21621621621621623
2021,Geografia,78,1,77,0.18181818181818182,0.45454545454545453,0.23376623376623376,0.12987012987012986
2021,Ciência Política / RI,61,2,59,0.2711864406779661,0.4067796610169492,0.1864406779661017,0.13559322033898305
2021,História,82,2,80,0.2125,0.3375,0.3,0.15
2022,Economia,75,1,74,0.28378378378378377,0.32432432432432434,0.22972972972972974,0.14864864864864866
2022,Sociologia,51,0,51,0.09803921568627451,0.45098039215686275,0.27450980392156865,0.17647058823529413
2022,Antropologia / Arqueologia,37,0,37,0.32432432432432434,0.1891891891891892,0.24324324324324326,0.21621621621621623
2022,Geografia,77,1,76,0.17105263157894737,0.4605263157894737,0.23684210526315788,0.13157894736842105
2022,Ciência Política / RI,60,2,58,0.25862068965517243,0.41379310344827586,0.1896551724137931,0.13793103448275862
2022,História,81,2,79,0.21518987341772153,0.34177215189873417,0.2911392405063291,0.1518987341772152
2023,Economia,74,1,73,0.2876712328767123,0.3287671232876712,0.2328767123287671,0.1506849315068493
2023,Sociologia,51,0,51,0.09803921568627451,0.45098039215686275,0.27450980392156865,0.17647058823529413
2023,Antropologia / Arqueologia,36,0,36,0.3333333333333333,0.19444444444444445,0.25,0.2222222222222222
2023,Geografia,77,1,76,0.17105263157894737,0.4605263157894737,0.23684210526315788,0.13157894736842105
2023,Ciência Política / RI,60,2,58,0.25862068965517243,0.41379310344827586,0.1896551724137931,0.13793103448275862
2023,História,81,2,79,0.21518987341772153,0.34177215189873417,0.2911392405063291,0.1518987341772152
2024,Economia,76,3,73,0.273972602739726,0.3424657534246575,0.2328767123287671,0.1506849315068493
2024,Sociologia,52,2,50,0.1,0.44,0.28,0.18
2024,Antropologia / Arqueologia,38,2,36,0.2777777777777778,0.25,0.25,0.2222222222222222
2024,Geografia,80,4,76,0.17105263157894737,0.4605263157894737,0.23684210526315788,0.13157894736842105
2024,Ciência Política / RI,64,5,59,0.2542372881355932,0.423728813559322,0.1864406779661017,0.13559322033898305
2024,História,80,2,78,0.21794871794871795,0.34615384615384615,0.28205128205128205,0.15384615384615385
