associacao,area,ano,edicao,local,participantes,trabalhos,trabalhos_aprovados,gt,fonte
ANPUH,História,2011,XXVI,São Paulo (SP),8000,NA,NA,130,Página oficial; imprensa
ANPUH,História,2013,XXVII,Natal (RN),8000,NA,NA,141,Página oficial (prev.)
ANPUH,História,2015,XXVIII,Florianópolis (SC),5500,NA,NA,113,FloripaManha (prev.); contagem ST
ANPUH,História,2017,XXIX,Brasília (DF),NA,NA,NA,107,Site do evento (contagem ST)
ANPUH,História,2019,XXX,Recife (PE),NA,NA,NA,113,Site do evento (contagem ST)
ANPUH,História,2021,XXXI,Virtual,NA,NA,NA,NA,Site fora do ar (sem dados)
ANPUH,História,2023,XXXII,São Luís (MA),3800,NA,NA,86,UEMASUL (3.800 inscritos); contagem ST
ANPUH,História,2025,XXXIII,Belo Horizonte (MG),NA,NA,NA,162,"snh2025.anpuh.org/apresentacao (público estimado ~5.000, pré-evento); contagem de STs do site oficial (162); balanço final não publicado em fonte acessível (31/08/2026)"
SBS,Sociologia,1997,8º,Brasília (DF),250,130,NA,NA,Site SBS – Histórico
SBS,Sociologia,1999,9º,Porto Alegre (RS),600,NA,NA,NA,Site SBS – Histórico (~600 participantes e trabalhos)
SBS,Sociologia,2003,11º,Campinas (SP),1200,NA,NA,NA,Site SBS – Histórico (mais de 1.200)
SBS,Sociologia,2005,12º,Belo Horizonte (MG),1400,NA,NA,NA,Site SBS – Histórico
SBS,Sociologia,2007,13º,Recife (PE),2600,NA,NA,NA,Site SBS – Histórico (mais de 2.600 credenciados)
SBS,Sociologia,2009,14º,Rio de Janeiro (RJ),5371,NA,NA,NA,Site SBS – Histórico (2.607 local + 2.764 site)
SBS,Sociologia,2011,15º,Curitiba (PR),1825,NA,NA,32,Site SBS – Histórico (32 GTs)
SBS,Sociologia,2013,16º,Salvador (BA),NA,1493,NA,37,Site SBS – Histórico (1.493 papers aceitos; 37 GTs)
SBS,Sociologia,2015,17º,Porto Alegre (RS),2360,NA,NA,NA,Site SBS – Histórico
SBS,Sociologia,2017,18º,Brasília (DF),1199,NA,NA,40,Site SBS – Histórico; editorial RBS (40 GTs)
