ano,area_nome,regiao,programas,participacao_regional
2019,Sociologia,NORTE,5,0.06172839506172839
2019,Sociologia,SUDESTE,29,0.35802469135802467
2019,Sociologia,SUL,19,0.2345679012345679
2019,Antropologia / Arqueologia,CENTRO-OESTE,16,0.09937888198757763
2019,Antropologia / Arqueologia,NORDESTE,35,0.21739130434782608
2019,Antropologia / Arqueologia,NORTE,12,0.07453416149068323
2019,Antropologia / Arqueologia,SUDESTE,65,0.40372670807453415
2019,Antropologia / Arqueologia,SUL,33,0.20496894409937888
2019,História,CENTRO-OESTE,26,0.11607142857142858
2019,História,NORDESTE,46,0.20535714285714285
2019,História,NORTE,13,0.05803571428571429
2019,História,SUDESTE,94,0.41964285714285715
2019,História,SUL,45,0.20089285714285715
2020,Geografia,CENTRO-OESTE,11,0.14473684210526316
2020,Geografia,NORDESTE,19,0.25
2020,Geografia,NORTE,8,0.10526315789473684
2020,Geografia,SUDESTE,25,0.32894736842105265
2020,Geografia,SUL,13,0.17105263157894737
2020,Economia,CENTRO-OESTE,18,0.0967741935483871
2020,Economia,NORDESTE,36,0.1935483870967742
2020,Economia,NORTE,15,0.08064516129032258
2020,Economia,SUDESTE,71,0.3817204301075269
2020,Economia,SUL,46,0.24731182795698925
2020,Ciência Política / RI,CENTRO-OESTE,8,0.13559322033898305
2020,Ciência Política / RI,NORDESTE,10,0.1694915254237288
2020,Ciência Política / RI,NORTE,2,0.03389830508474576
2020,Ciência Política / RI,SUDESTE,27,0.4576271186440678
2020,Ciência Política / RI,SUL,12,0.2033898305084746
2020,Sociologia,CENTRO-OESTE,8,0.1
2020,Sociologia,NORDESTE,20,0.25
2020,Sociologia,NORTE,5,0.0625
2020,Sociologia,SUDESTE,28,0.35
2020,Sociologia,SUL,19,0.2375
2020,Antropologia / Arqueologia,CENTRO-OESTE,16,0.10191082802547771
2020,Antropologia / Arqueologia,NORDESTE,35,0.2229299363057325
2020,Antropologia / Arqueologia,NORTE,12,0.07643312101910828
2020,Antropologia / Arqueologia,SUDESTE,63,0.4012738853503185
2020,Antropologia / Arqueologia,SUL,31,0.19745222929936307
2020,História,CENTRO-OESTE,26,0.11926605504587157
2020,História,NORDESTE,43,0.19724770642201836
2020,História,NORTE,13,0.05963302752293578
2020,História,SUDESTE,92,0.42201834862385323
2020,História,SUL,44,0.2018348623853211
2021,Geografia,CENTRO-OESTE,13,0.16455696202531644
2021,Geografia,NORDESTE,19,0.24050632911392406
2021,Geografia,NORTE,8,0.10126582278481013
2021,Geografia,SUDESTE,25,0.31645569620253167
2021,Geografia,SUL,14,0.17721518987341772
2021,Economia,CENTRO-OESTE,21,0.1099476439790576
2021,Economia,NORDESTE,37,0.193717277486911
2021,Economia,NORTE,16,0.08376963350785341
2021,Economia,SUDESTE,71,0.3717277486910995
2021,Economia,SUL,46,0.24083769633507854
2021,Ciência Política / RI,CENTRO-OESTE,9,0.14516129032258066
2021,Ciência Política / RI,NORDESTE,11,0.1774193548387097
2021,Ciência Política / RI,NORTE,2,0.03225806451612903
2021,Ciência Política / RI,SUDESTE,28,0.45161290322580644
2021,Ciência Política / RI,SUL,12,0.1935483870967742
2021,Sociologia,CENTRO-OESTE,9,0.10588235294117647
2021,Sociologia,NORDESTE,21,0.24705882352941178
2021,Sociologia,NORTE,6,0.07058823529411765
2021,Sociologia,SUDESTE,30,0.35294117647058826
2021,Sociologia,SUL,19,0.2235294117647059
2021,Antropologia / Arqueologia,CENTRO-OESTE,17,0.10429447852760736
2021,Antropologia / Arqueologia,NORDESTE,37,0.22699386503067484
2021,Antropologia / Arqueologia,NORTE,14,0.08588957055214724
2021,Antropologia / Arqueologia,SUDESTE,63,0.38650306748466257
2021,Antropologia / Arqueologia,SUL,32,0.19631901840490798
2021,História,CENTRO-OESTE,28,0.125
2021,História,NORDESTE,45,0.20089285714285715
