periodico,ano,titulo,tipo,doi,id_openalex
Lua_Nova,1984,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451984000100016,https://openalex.org/W1997558455
Lua_Nova,1985,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451985000100012,https://openalex.org/W4241234032
Lua_Nova,1986,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451986000300014,https://openalex.org/W4252041052
Lua_Nova,1988,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451988000100014,https://openalex.org/W4231051381
Lua_Nova,1989,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451989000100011,https://openalex.org/W4236842194
Lua_Nova,1990,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451990000200011,https://openalex.org/W4213314122
Lua_Nova,1991,Apresentação,article,https://doi.org/10.1590/s0102-64451991000100002,https://openalex.org/W4229663456
Lua_Nova,1991,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451991000100001,https://openalex.org/W4230547588
Lua_Nova,1992,Apresentação,article,https://doi.org/10.1590/s0102-64451992000200001,https://openalex.org/W4230354236
Lua_Nova,1993,Apresentação,article,https://doi.org/10.1590/s0102-64451993000200001,https://openalex.org/W4232266545
Lua_Nova,1993,Errata,article,https://doi.org/10.1590/s0102-64451993000100018,https://openalex.org/W4242874899
Lua_Nova,1994,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0102-64451994000100007,https://openalex.org/W4236702226
Lua_Nova,1994,Apresentação,article,https://doi.org/10.1590/s0102-64451994000100001,https://openalex.org/W4230642631
Lua_Nova,1995,Apresentação,article,https://doi.org/10.1590/s0102-64451995000200001,https://openalex.org/W4235235724
Lua_Nova,1996,Apresentação,article,https://doi.org/10.1590/s0102-64451996000200001,https://openalex.org/W4205378771
Lua_Nova,1997,Apresentação,article,https://doi.org/10.1590/s0102-64451997000200001,https://openalex.org/W4232726879
DADOS_Revista_de_Ciencias_Sociais,1997,"SUMÁRIO do Vol. 40, nos. 1, 2 e 3, 1997",article,https://doi.org/10.1590/s0011-52581997000300009,https://openalex.org/W4213040585
DADOS_Revista_de_Ciencias_Sociais,1997,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0011-52581997000300011,https://openalex.org/W4213107711
DADOS_Revista_de_Ciencias_Sociais,1997,NOTA EDITORIAL,article,https://doi.org/10.1590/s0011-52581997000300001,https://openalex.org/W4213195288
Revista_de_Sociologia_e_Politica,1999,[NO TITLE AVAILABLE],article,https://doi.org/10.1590/s0104-44781999000100010,https://openalex.org/W4236114762
Lua_Nova,1999,Apresentação,article,https://doi.org/10.1590/s0102-64451999000300001,https://openalex.org/W4238314755
DADOS_Revista_de_Ciencias_Sociais,2000,Nota editorial,article,https://doi.org/10.1590/s0011-52582000000400001,https://openalex.org/W4213002830
Lua_Nova,2000,Apresentação,article,https://doi.org/10.1590/s0102-64452000000100001,https://openalex.org/W4231241053
