ano,area_nome,registros
2015,Geografia,1181
2015,História,1549
2015,Não identificado,3800
2015,Sociologia,1116
2016,Antropologia / Arqueologia,432
2016,Ciência Política / RI,610
2016,Economia,1083
2016,Geografia,1209
2016,História,1681
2016,Não identificado,3977
2016,Sociologia,1197
2017,Antropologia / Arqueologia,445
2017,Ciência Política / RI,634
2017,Economia,1239
2017,Geografia,1339
2017,História,1541
2017,Não identificado,4481
2017,Sociologia,1139
2018,Antropologia / Arqueologia,450
2018,Ciência Política / RI,794
2018,Economia,1128
2018,Geografia,1265
2018,História,1812
2018,Não identificado,4609
2018,Sociologia,1068
2019,Antropologia / Arqueologia,544
2019,Ciência Política / RI,961
2019,Economia,1214
2019,Geografia,1341
2019,História,1748
2019,Não identificado,4930
2019,Sociologia,1097
2020,Antropologia / Arqueologia,430
2020,Ciência Política / RI,698
2020,Economia,1075
2020,Geografia,1031
2020,História,1719
2020,Não identificado,4399
2020,Sociologia,1006
2021,Antropologia / Arqueologia,466
2021,Ciência Política / RI,776
2021,Economia,1150
2021,Geografia,1188
2021,História,1828
2021,Não identificado,4732
2021,Sociologia,981
2022,Antropologia / Arqueologia,487
2022,Ciência Política / RI,815
2022,Economia,1135
2022,Geografia,1270
2022,História,1967
2022,Não identificado,4696
2022,Sociologia,871
2023,Antropologia / Arqueologia,525
2023,Ciência Política / RI,868
2023,Economia,1247
2023,Geografia,1400
2023,História,1890
2023,Não identificado,5469
2023,Sociologia,1055
2024,Antropologia / Arqueologia,585
2024,Ciência Política / RI,1002
2024,Economia,1165
2024,Geografia,1440
2024,História,1795
2024,Não identificado,5316
2024,Sociologia,1050
