ano,nivel,n_total,n_classificado,n_fem,taxa_classificacao,prop,ic_inf,ic_sup
1998,Mestrado,84,84,32,1,0.38095238095238093,0.2844714924548898,0.48784558573907677
1999,Doutorado,15,15,4,1,0.26666666666666666,0.10897453325692372,0.5195043405598055
1999,Mestrado,93,93,38,1,0.40860215053763443,0.31425494945885146,0.5102004004809281
2000,Doutorado,24,24,8,1,0.3333333333333333,0.17972190327297755,0.5329368316186824
2000,Mestrado,92,92,29,1,0.31521739130434784,0.22931436919100912,0.4159331007623729
2001,Doutorado,18,18,8,1,0.4444444444444444,0.24559518127005642,0.6628358435795721
2001,Mestrado,112,112,40,1,0.35714285714285715,0.27449588648222434,0.44926449839404536
2002,Doutorado,13,12,4,0.9230769230769231,0.3333333333333333,0.1381200910912132,0.6093779111272004
2002,Mestrado,102,102,45,1,0.4411764705882353,0.34869332624238575,0.5379295516571982
2003,Doutorado,28,28,6,1,0.21428571428571427,0.10212460332897882,0.39538585653721864
2003,Mestrado,155,153,60,0.9870967741935484,0.39215686274509803,0.31834379323986,0.4712526549943625
2004,Doutorado,20,19,7,0.95,0.3684210526315789,0.19149512745135072,0.5896046683519691
2004,Mestrado,192,188,70,0.9791666666666666,0.3723404255319149,0.30644061650696064,0.44335277906524717
2005,Doutorado,41,41,12,1,0.2926829268292683,0.1760918762611343,0.44479467722997157
2005,Mestrado,236,236,101,1,0.4279661016949153,0.3664908789672668,0.4917488091701438
2006,Doutorado,44,44,12,1,0.2727272727272727,0.16346381623843376,0.4184887309245119
2006,Mestrado,239,239,110,1,0.4602510460251046,0.3981893144534572,0.5235703385634977
2007,Doutorado,55,55,20,1,0.36363636363636365,0.24930531530307254,0.4957723850015874
2007,Mestrado,171,170,75,0.9941520467836257,0.4411764705882353,0.36865492537755246,0.5162977197758188
2008,Doutorado,53,53,17,1,0.32075471698113206,0.21092214079135074,0.45481479850967377
2008,Mestrado,181,179,75,0.988950276243094,0.41899441340782123,0.34915977768950535,0.49223286822873114
2009,Doutorado,56,56,25,1,0.44642857142857145,0.3238672125478336,0.5758678521006053
2009,Mestrado,227,226,94,0.9955947136563876,0.415929203539823,0.3535987446463684,0.48106989957919366
2010,Doutorado,60,60,18,1,0.3,0.19898166138769108,0.42508707946914476
2010,Mestrado,246,245,94,0.9959349593495935,0.3836734693877551,0.3250236333016049,0.4459148579364164
2011,Doutorado,82,82,35,1,0.4268292682926829,0.3254194886306333,0.5347879197142594
2011,Mestrado,292,291,114,0.9965753424657534,0.3917525773195876,0.33742651519460637,0.44889932835539087
2012,Doutorado,87,85,30,0.9770114942528736,0.35294117647058826,0.2597248535117248,0.4588749946688786
2012,Mestrado,329,327,153,0.993920972644377,0.46788990825688076,0.4144950817994085,0.522030406647971
2013,Doutorado,101,100,29,0.9900990099009901,0.29,0.21014835749122274,0.3853889117557111
2013,Mestrado,380,378,149,0.9947368421052631,0.3941798941798942,0.34621830311356117,0.44427065990507597
2014,Doutorado,98,97,32,0.9897959183673469,0.32989690721649484,0.24438091722640706,0.4283727261071627
2014,Mestrado,369,365,172,0.989159891598916,0.4712328767123288,0.4205893396903555,0.5224756290169482
2015,Doutorado,144,144,51,1,0.3541666666666667,0.28077003815087065,0.4351418560158484
2015,Mestrado,397,397,179,1,0.4508816120906801,0.4026391770405181,0.5000654979830162
2016,Doutorado,134,133,55,0.9925373134328358,0.41353383458646614,0.3334136107724745,0.4985086721510265
2016,Mestrado,476,473,215,0.9936974789915967,0.45454545454545453,0.41021821680823145,0.4996050605000254
2017,Doutorado,149,149,69,1,0.46308724832214765,0.3849579354501229,0.5430720631845758
2017,Mestrado,485,482,261,0.9938144329896907,0.5414937759336099,0.4968577008364092,0.5854736837619615
2018,Doutorado,204,203,81,0.9950980392156863,0.39901477832512317,0.3341286167175367,0.4676519342717991
2018,Mestrado,605,600,307,0.9917355371900827,0.5116666666666667,0.4717230993999969,0.5514617942430168
2019,Doutorado,214,213,99,0.9953271028037384,0.4647887323943662,0.39902498643532114,0.5318000500610277
2019,Mestrado,747,740,385,0.9906291834002677,0.5202702702702703,0.4842632629283733,0.5560679120071604
2020,Doutorado,153,151,65,0.9869281045751634,0.4304635761589404,0.35418061392698924,0.5101967940363525
2020,Mestrado,546,542,259,0.9926739926739927,0.477859778597786,0.43611099949391335,0.5199201893940604
2021,Doutorado,154,152,68,0.987012987012987,0.4473684210526316,0.3705898664101692,0.5267416901532926
2021,Mestrado,622,620,308,0.9967845659163987,0.4967741935483871,0.45755920733041966,0.5360289071761705
2022,Doutorado,162,162,70,1,0.43209876543209874,0.35826245991877326,0.5090807234055716
2022,Mestrado,653,652,321,0.998468606431853,0.49233128834355827,0.4541141880551938,0.5306382244897806
2023,Doutorado,177,176,84,0.9943502824858758,0.4772727272727273,0.40475636974720514,0.550760005328599
2023,Mestrado,691,688,356,0.9956584659913169,0.5174418604651163,0.48010997035797104,0.554580058251922
2024,Doutorado,216,214,92,0.9907407407407407,0.42990654205607476,0.36538972699258465,0.49689544056730994
2024,Mestrado,786,778,407,0.989821882951654,0.5231362467866324,0.488012289510309,0.5580328512197583
