ano,area_nome,programas_ativos,ies,ufs,programas_mestrado,programas_doutorado,programas_academicos,programas_profissionais,pct_profissionais,conceito_medio,conceito_mediano,docentes_unicos,vinculos_docente_programa,docentes_permanentes,proporcao_doutores,docentes_por_programa,docentes_totais_por_programa,docentes_perm_por_programa_academico,vinculos_por_programa
2018,Ciência Política / RI,50,38,14,49,22,36,14,28,4.040816326530612,4,880,982,669,0.9786150712830958,13.38,17.6,18.583333333333332,19.64
2018,História,72,64,22,72,41,62,10,13.88888888888889,4.111111111111111,4,1870,2146,1548,0.9962721342031687,21.5,25.97222222222222,24.967741935483872,29.805555555555557
2019,Economia,75,58,19,74,33,55,20,26.666666666666668,4.27536231884058,4,1223,1421,938,0.9859254046446164,12.506666666666666,16.30666666666667,17.054545454545455,18.946666666666665
2019,Sociologia,53,47,21,52,40,51,2,3.7735849056603774,4.288461538461538,4,1235,1312,967,0.9954268292682927,18.245283018867923,23.30188679245283,18.96078431372549,24.754716981132077
2019,Antropologia / Arqueologia,37,31,22,37,22,36,1,2.7027027027027026,4.242424242424242,4,662,699,540,0.9971387696709585,14.594594594594595,17.89189189189189,15,18.89189189189189
2019,Geografia,76,64,27,76,37,72,4,5.2631578947368425,4.107692307692307,4,1379,1500,1164,0.9986666666666667,15.31578947368421,18.144736842105264,16.166666666666668,19.736842105263158
2019,Ciência Política / RI,58,44,15,57,25,42,16,27.586206896551722,4.040816326530612,4,987,1103,761,0.9773345421577516,13.120689655172415,17.017241379310345,18.11904761904762,19.017241379310345
2019,História,81,71,24,81,46,69,12,14.814814814814815,4.111111111111111,4,1960,2254,1617,0.9968944099378882,19.962962962962962,24.19753086419753,23.434782608695652,27.82716049382716
2020,Economia,75,58,19,74,34,55,20,26.666666666666668,4.27536231884058,4,1221,1420,964,0.9894366197183099,12.853333333333333,16.28,17.527272727272727,18.933333333333334
2020,Sociologia,52,46,21,51,41,51,1,1.9230769230769231,4.313725490196078,4,1182,1248,948,0.9959935897435898,18.23076923076923,22.73076923076923,18.58823529411765,24
2020,Antropologia / Arqueologia,37,31,22,37,22,36,1,2.7027027027027026,4.242424242424242,4,640,671,527,0.9970193740685543,14.243243243243244,17.2972972972973,14.63888888888889,18.135135135135137
2020,Geografia,76,64,27,76,37,72,4,5.2631578947368425,4.107692307692307,4,1354,1473,1156,0.9986422267481331,15.210526315789474,17.81578947368421,16.055555555555557,19.38157894736842
2020,Ciência Política / RI,59,44,15,58,25,42,17,28.8135593220339,4.061224489795919,4,996,1119,776,0.9776586237712243,13.152542372881356,16.88135593220339,18.476190476190474,18.966101694915253
2020,História,80,70,24,80,47,68,12,15,4.112676056338028,4,2048,2384,1742,0.9983221476510067,21.775,25.6,25.61764705882353,29.8
2021,Economia,77,59,19,76,36,56,21,27.272727272727273,4.2631578947368425,4,1250,1459,1002,0.997943797121316,13.012987012987013,16.233766233766232,17.892857142857142,18.948051948051948
2021,Sociologia,52,46,21,51,41,51,1,1.9230769230769231,4.615384615384615,4,1192,1267,972,0.9952644041041832,18.692307692307693,22.923076923076923,19.058823529411764,24.365384615384617
2021,Antropologia / Arqueologia,37,31,22,37,22,36,1,2.7027027027027026,4.351351351351352,4,653,688,534,0.997093023255814,14.432432432432432,17.64864864864865,14.833333333333334,18.594594594594593
2021,Geografia,78,66,27,78,37,73,5,6.410256410256411,4.337662337662338,4,1506,1698,1283,0.9976442873969376,16.44871794871795,19.307692307692307,17.575342465753426,21.76923076923077
2021,Ciência Política / RI,61,44,15,59,29,43,18,29.508196721311474,4.254237288135593,4,1004,1132,803,0.9840989399293286,13.163934426229508,16.459016393442624,18.674418604651162,18.557377049180328
2021,História,82,73,25,82,48,70,12,14.634146341463415,4.4625,4,2150,2518,1825,0.9988085782366958,22.25609756097561,26.21951219512195,26.071428571428573,30.70731707317073
2022,Economia,75,58,19,74,35,55,20,26.666666666666668,4.27027027027027,4,1273,1467,1028,0.9972733469665985,13.706666666666667,16.973333333333333,18.69090909090909,19.56
2022,Sociologia,51,45,21,50,40,50,1,1.9607843137254901,4.607843137254902,4,1189,1255,957,0.9960159362549801,18.764705882352942,23.313725490196077,19.14,24.607843137254903
2022,Antropologia / Arqueologia,37,31,22,37,22,36,1,2.7027027027027026,4.351351351351352,4,655,689,540,0.9941944847605225,14.594594594594595,17.7027027027027,15,18.62162162162162
2022,Geografia,77,66,27,77,37,72,5,6.4935064935064934,4.355263157894737,4,1529,1691,1296,0.9976345357776464,16.83116883116883,19.857142857142858,18,21.961038961038962
2022,Ciência Política / RI,60,43,15,58,29,42,18,30,4.275862068965517,4,1023,1144,810,0.9833916083916084,13.5,17.05,19.285714285714285,19.066666666666666
2022,História,81,72,25,81,47,69,12,14.814814814814815,4.455696202531645,4,2198,2562,1862,0.9988290398126464,22.987654320987655,27.135802469135804,26.985507246376812,31.62962962962963
2023,Economia,74,58,19,73,35,55,19,25.675675675675677,4.315068493150685,4,1298,1504,1057,0.9940159574468085,14.283783783783784,17.54054054054054,19.21818181818182,20.324324324324323
2023,Sociologia,51,45,21,50,40,50,1,1.9607843137254901,4.607843137254902,4,1221,1287,979,0.9945609945609946,19.19607843137255,23.941176470588236,19.58,25.235294117647058
2023,Antropologia / Arqueologia,36,30,22,36,22,36,0,0,4.444444444444445,4,662,701,544,0.9942938659058488,15.11111111111111,18.38888888888889,15.11111111111111,19.47222222222222
2023,Geografia,77,67,27,77,37,72,5,6.4935064935064934,4.355263157894737,4,1587,1750,1330,0.9971428571428571,17.272727272727273,20.61038961038961,18.47222222222222,22.727272727272727
2023,Ciência Política / RI,60,43,15,58,29,42,18,30,4.275862068965517,4,1059,1177,833,0.9830076465590484,13.883333333333333,17.65,19.833333333333332,19.616666666666667
2023,História,81,72,25,81,47,69,12,14.814814814814815,4.455696202531645,4,2252,2649,1920,0.9977349943374858,23.703703703703702,27.80246913580247,27.82608695652174,32.7037037037037
2024,Economia,76,60,20,75,37,55,21,27.63157894736842,4.328767123287672,4,1315,1500,1078,0.9946666666666667,14.18421052631579,17.30263157894737,19.6,19.736842105263158
2024,Sociologia,52,47,22,51,40,52,0,0,4.62,4,1148,1174,912,1,17.53846153846154,22.076923076923077,17.53846153846154,22.576923076923077
2024,Antropologia / Arqueologia,38,31,22,38,22,38,0,0,4.5,4,687,734,567,0.9986376021798365,14.921052631578947,18.07894736842105,14.921052631578947,19.31578947368421
2024,Geografia,80,71,27,80,41,76,4,5,4.355263157894737,4,1565,1693,1313,0.9988186650915535,16.4125,19.5625,17.276315789473685,21.1625
2024,Ciência Política / RI,64,46,15,62,34,44,20,31.25,4.271186440677966,4,1114,1243,883,0.9895414320193081,13.796875,17.40625,20.068181818181817,19.421875
2024,História,80,72,25,80,51,69,11,13.75,4.448717948717949,4,1912,2061,1575,0.9985443959243085,19.6875,23.9,22.82608695652174,25.7625
