fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2004,0.12363702125078421,0.10998672027807967,0.13700421967180668
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2005,0.1255743846723794,0.11290137391408965,0.13827878495631174
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2006,0.12691725369164764,0.11453850571784066,0.14030257002786767
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2007,0.12769491995561016,0.11512756670317714,0.1417348947942676
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2008,0.12793667511128828,0.1149908376057059,0.14314136000501554
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2009,0.1276718108057033,0.1146099266558534,0.14315587839848892
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2010,0.1269296186858765,0.11471621402244234,0.1410839308412949
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2011,0.12565348577378813,0.11481159609572344,0.13738196437848801
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2012,0.12344318059125468,0.11236674692488008,0.13467178221505768
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2013,0.11981256703505155,0.10797198631714937,0.13195410079939213
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2014,0.11427550900195421,0.10309600291667487,0.12539629005342173
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2015,0.10670608181751938,0.09690467808949393,0.11661831749588703
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2016,0.09841920652242903,0.08717862419737665,0.10958032591957098
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2017,0.09094105581883546,0.0810012662824357,0.10087614232215905
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2018,0.08520196333964714,0.07503189242077338,0.09580276179744157
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2019,0.08198330295046154,0.07208607311008369,0.09255944758886944
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2020,0.08075168205714345,0.0696000016135542,0.09152695583195364
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2021,0.07571464222662681,0.06277024615480938,0.08781753009926771
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2022,0.06483195382932334,0.05161920932224129,0.0779190559816257
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2023,0.06633136828848703,0.052382692479072734,0.0804420377386774
composição fixa,2,"T2: Política Externa, Cooperação e Integração Regional",2024,0.055153903114030185,0.04171212824680885,0.0681458110588529
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1984,0.07765251858482114,-0.03602515760272047,0.188267273092337
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1985,0.0849069328820397,-0.004644841671056587,0.1720451807383968
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1986,0.09128019317669463,0.02101499758888563,0.1591574645671779
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1987,0.09681522788678092,0.04186814889869699,0.1492961448021416
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1988,0.10155496543029349,0.05999906930870903,0.1418613344302566
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1989,0.10554233422522731,0.07429415701357348,0.13603847729735988
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1990,0.10882026268957733,0.08445315109402235,0.13277441407139282
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1991,0.11143167924133847,0.09149077241253845,0.13129158643308575
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1992,0.1134195122985057,0.09548182442435951,0.13116573038139867
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1993,0.11482669027907398,0.09826775267474569,0.13149612549262102
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1994,0.11569614160103824,0.0998505988433665,0.1314513516513363
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1995,0.11607079468239344,0.10117289229377549,0.13145580223572984
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1996,0.11599357794113453,0.1019550075813645,0.1305844106082049
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1997,0.11550741979525644,0.10268062167405434,0.12907024853696725
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1998,0.11465524866275416,0.10231237864507793,0.1274416627627013
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,1999,0.1134799929616226,0.1018334105016897,0.12558085818576398
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2000,0.11202458110985672,0.10039932517949618,0.12383410403705714
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2001,0.11033194152545148,0.09791475566383492,0.12249359684396838
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2002,0.10844500262640182,0.09572592106627681,0.12055698548202834
composição fixa,3,T3: Economia Política Internacional e Desenvolvimento,2003,0.1064066928307027,0.09369371821927124,0.11852025020989854
