ano,area_nome,programas_ativos,docentes_unicos,docentes_por_programa,conceito_medio,ufs,ies,titulos,Doutorado,Mestrado,titulos_por_programa,titulos_por_docente,razao_doutorado_mestrado
2019,Geografia,76,1379,18.144736842105264,4.107692307692307,27,64,1341,450,891,17.644736842105264,0.9724437998549673,0.5050505050505051
2019,Economia,184,4244,23.065217391304348,4.045714285714285,27,137,1296,254,1042,7.043478260869565,0.3053722902921772,0.2437619961612284
2019,Ciência Política / RI,58,987,17.017241379310345,4.040816326530612,15,44,961,214,747,16.56896551724138,0.9736575481256332,0.28647925033467203
2019,Sociologia,81,1960,24.19753086419753,4.111111111111111,24,71,1168,446,722,14.419753086419753,0.5959183673469388,0.6177285318559557
2019,Antropologia / Arqueologia,161,3969,24.652173913043477,4.315789473684211,27,99,544,176,368,3.37888198757764,0.13706223230032755,0.4782608695652174
2019,História,224,3713,16.575892857142858,4.304932735426009,25,79,1775,522,1253,7.924107142857143,0.4780500942633989,0.4166001596169194
2020,Geografia,76,1354,17.81578947368421,4.107692307692307,27,64,1031,297,734,13.56578947368421,0.7614475627769571,0.40463215258855584
2020,Economia,186,4217,22.672043010752688,4.051724137931035,27,136,1131,226,905,6.080645161290323,0.2682001422812426,0.24972375690607734
2020,Ciência Política / RI,59,996,16.88135593220339,4.061224489795919,15,44,698,153,545,11.830508474576272,0.7008032128514057,0.28073394495412846
2020,Sociologia,80,2048,25.6,4.112676056338028,24,70,1071,347,724,13.3875,0.52294921875,0.47928176795580113
2020,Antropologia / Arqueologia,157,3854,24.547770700636946,4.337837837837838,27,95,430,125,305,2.738853503184713,0.11157239231966788,0.4098360655737705
2020,História,218,3635,16.674311926605505,4.3271889400921655,25,77,1741,453,1288,7.986238532110092,0.4789546079779917,0.3517080745341615
2021,Geografia,79,1506,19.063291139240505,4.333333333333333,27,66,1188,346,842,15.037974683544304,0.7888446215139442,0.41092636579572445
2021,Economia,191,4549,23.81675392670157,4.184210526315789,27,140,1234,222,1012,6.460732984293194,0.27126841063970103,0.21936758893280633
2021,Ciência Política / RI,62,1004,16.193548387096776,4.216666666666667,15,45,776,154,622,12.516129032258064,0.7729083665338645,0.24758842443729903
2021,Sociologia,85,2150,25.294117647058822,4.409638554216867,25,74,1048,378,670,12.329411764705883,0.4874418604651163,0.564179104477612
2021,Antropologia / Arqueologia,163,3972,24.3680981595092,4.598765432098766,27,98,466,121,345,2.8588957055214723,0.11732124874118832,0.3507246376811594
2021,História,224,3721,16.611607142857142,4.607142857142857,25,78,1844,487,1357,8.232142857142858,0.4955657081429723,0.3588798820928519
2022,Geografia,77,1529,19.857142857142858,4.355263157894737,27,66,1270,348,922,16.493506493506494,0.8306082406801831,0.3774403470715835
2022,Economia,191,4631,24.24607329842932,4.196808510638298,27,141,1217,224,993,6.371727748691099,0.2627942129129778,0.2255790533736153
2022,Ciência Política / RI,60,1023,17.05,4.275862068965517,15,43,815,162,653,13.583333333333334,0.7966764418377321,0.24808575803981622
2022,Sociologia,82,2198,26.804878048780488,4.4625,25,73,939,339,600,11.451219512195122,0.42720655141037306,0.565
2022,Antropologia / Arqueologia,157,3994,25.43949044585987,4.64935064935065,27,97,487,161,326,3.1019108280254777,0.12193289934902353,0.4938650306748466
2022,História,217,3637,16.76036866359447,4.663594470046083,25,78,1986,483,1503,9.152073732718893,0.5460544404729173,0.3213572854291417
2023,Geografia,77,1587,20.61038961038961,4.355263157894737,27,67,1400,418,982,18.181818181818183,0.8821676118462508,0.4256619144602851
2023,Economia,191,4812,25.19371727748691,4.196808510638298,27,141,1352,277,1075,7.0785340314136125,0.2809642560266002,0.2576744186046512
2023,Ciência Política / RI,60,1059,17.65,4.275862068965517,15,43,868,177,691,14.466666666666667,0.8196411709159585,0.25615050651230103
2023,Sociologia,84,2252,26.80952380952381,4.414634146341464,25,74,1118,414,704,13.30952380952381,0.49644760213143874,0.5880681818181818
2023,Antropologia / Arqueologia,159,4061,25.540880503144653,4.647435897435898,27,97,525,137,388,3.30188679245283,0.12927850283181483,0.35309278350515466
2023,História,222,3657,16.472972972972972,4.63063063063063,25,81,1913,592,1321,8.617117117117116,0.5231063713426306,0.4481453444360333
2024,Geografia,80,1565,19.5625,4.355263157894737,27,71,1509,398,1111,18.8625,0.9642172523961662,0.3582358235823582
2024,Economia,193,4656,24.124352331606215,4.209677419354839,27,143,1260,264,996,6.528497409326425,0.2706185567010309,0.26506024096385544
2024,Ciência Política / RI,64,1114,17.40625,4.271186440677966,15,46,1002,216,786,15.65625,0.8994614003590664,0.2748091603053435
2024,Sociologia,81,1912,23.604938271604937,4.455696202531645,25,73,1184,429,755,14.617283950617283,0.6192468619246861,0.5682119205298013
2024,Antropologia / Arqueologia,157,3695,23.53503184713376,4.68,27,98,585,187,398,3.7261146496815285,0.15832205683355885,0.46984924623115576
2024,História,215,3589,16.693023255813955,4.665116279069768,25,79,1861,527,1334,8.655813953488373,0.518528838116467,0.3950524737631184
