ano,area_nome,nivel,titulos
1999,Antropologia / Arqueologia,Mestrado,92
1999,Antropologia / Arqueologia,Não informado,0
1999,Ciência Política / RI,Doutorado,15
1999,Ciência Política / RI,Mestrado,93
1999,Ciência Política / RI,Não informado,0
1999,Economia,Doutorado,55
1999,Economia,Mestrado,303
1999,Economia,Não informado,8
1999,Geografia,Doutorado,54
1999,Geografia,Mestrado,167
1999,Geografia,Não informado,0
1999,História,Doutorado,121
1999,História,Mestrado,306
1999,História,Não informado,0
1999,Não identificado,Doutorado,152
1999,Não identificado,Mestrado,507
1999,Não identificado,Não informado,1
1999,Sociologia,Doutorado,135
1999,Sociologia,Mestrado,270
1999,Sociologia,Não informado,0
2000,Antropologia / Arqueologia,Doutorado,25
2000,Antropologia / Arqueologia,Mestrado,112
2000,Antropologia / Arqueologia,Não informado,0
2000,Ciência Política / RI,Doutorado,24
2000,Ciência Política / RI,Mestrado,91
2000,Ciência Política / RI,Não informado,0
2000,Economia,Doutorado,74
2000,Economia,Mestrado,362
2000,Economia,Não informado,28
2000,Geografia,Doutorado,78
2000,Geografia,Mestrado,195
2000,Geografia,Não informado,0
2000,História,Doutorado,124
2000,História,Mestrado,372
2000,História,Não informado,0
2000,Não identificado,Doutorado,206
2000,Não identificado,Mestrado,646
2000,Não identificado,Não informado,24
2000,Sociologia,Doutorado,139
2000,Sociologia,Mestrado,284
2000,Sociologia,Não informado,0
2001,Antropologia / Arqueologia,Doutorado,31
2001,Antropologia / Arqueologia,Mestrado,105
2001,Antropologia / Arqueologia,Não informado,0
2001,Ciência Política / RI,Doutorado,18
2001,Ciência Política / RI,Mestrado,111
2001,Ciência Política / RI,Não informado,0
2001,Economia,Doutorado,74
2001,Economia,Mestrado,397
2001,Economia,Não informado,38
2001,Geografia,Doutorado,58
2001,Geografia,Mestrado,297
2001,Geografia,Não informado,0
2001,História,Doutorado,175
2001,História,Mestrado,415
2001,História,Não informado,0
2001,Não identificado,Doutorado,186
2001,Não identificado,Mestrado,597
2001,Não identificado,Não informado,27
2001,Sociologia,Doutorado,150
2001,Sociologia,Mestrado,276
2001,Sociologia,Não informado,0
2002,Antropologia / Arqueologia,Doutorado,33
2002,Antropologia / Arqueologia,Mestrado,118
2002,Antropologia / Arqueologia,Não informado,0
2002,Ciência Política / RI,Doutorado,13
2002,Ciência Política / RI,Mestrado,101
2002,Ciência Política / RI,Não informado,1
2002,Economia,Doutorado,93
2002,Economia,Mestrado,410
2002,Economia,Não informado,102
2002,Geografia,Doutorado,92
2002,Geografia,Mestrado,355
2002,Geografia,Não informado,0
2002,História,Doutorado,203
2002,História,Mestrado,556
2002,História,Não informado,0
2002,Não identificado,Doutorado,210
2002,Não identificado,Mestrado,831
2002,Não identificado,Não informado,62
2002,Sociologia,Doutorado,161
2002,Sociologia,Mestrado,439
2002,Sociologia,Não informado,10
2003,Antropologia / Arqueologia,Doutorado,34
2003,Antropologia / Arqueologia,Mestrado,107
2003,Antropologia / Arqueologia,Não informado,20
2003,Ciência Política / RI,Doutorado,28
2003,Ciência Política / RI,Mestrado,119
2003,Ciência Política / RI,Não informado,36
2003,Economia,Doutorado,100
2003,Economia,Mestrado,432
2003,Economia,Não informado,207
2003,Geografia,Doutorado,75
2003,Geografia,Mestrado,322
2003,Geografia,Não informado,0
2003,História,Doutorado,198
2003,História,Mestrado,435
2003,História,Não informado,0
2003,Não identificado,Doutorado,286
2003,Não identificado,Mestrado,991
2003,Não identificado,Não informado,140
2003,Sociologia,Doutorado,206
2003,Sociologia,Mestrado,446
2003,Sociologia,Não informado,12
2004,Antropologia / Arqueologia,Doutorado,43
2004,Antropologia / Arqueologia,Mestrado,120
2004,Antropologia / Arqueologia,Não informado,13
2004,Ciência Política / RI,Doutorado,20
2004,Ciência Política / RI,Mestrado,168
2004,Ciência Política / RI,Não informado,24
2004,Economia,Doutorado,75
2004,Economia,Mestrado,393
2004,Economia,Não informado,150
2004,Geografia,Doutorado,75
2004,Geografia,Mestrado,366
2004,Geografia,Não informado,0
2004,História,Doutorado,205
2004,História,Mestrado,432
2004,História,Não informado,0
2004,Não identificado,Doutorado,313
2004,Não identificado,Mestrado,954
2004,Não identificado,Não informado,197
2004,Sociologia,Doutorado,239
2004,Sociologia,Mestrado,399
2004,Sociologia,Não informado,14
2005,Antropologia / Arqueologia,Doutorado,57
2005,Antropologia / Arqueologia,Mestrado,116
2005,Antropologia / Arqueologia,Não informado,23
2005,Ciência Política / RI,Doutorado,40
2005,Ciência Política / RI,Mestrado,210
2005,Ciência Política / RI,Não informado,26
2005,Economia,Doutorado,92
2005,Economia,Mestrado,390
2005,Economia,Não informado,159
2005,Geografia,Doutorado,86
2005,Geografia,Mestrado,443
2005,Geografia,Não informado,0
2005,História,Doutorado,244
2005,História,Mestrado,494
2005,História,Não informado,9
2005,Não identificado,Doutorado,324
2005,Não identificado,Mestrado,1099
2005,Não identificado,Não informado,194
2005,Sociologia,Doutorado,232
2005,Sociologia,Mestrado,487
2005,Sociologia,Não informado,11
